,action_p,action_r,action_y,action_z,al_pitch,al_roll,al_yaw,angular_x,angular_y,angular_z,linear_acc_bodyx,linear_acc_bodyy,linear_acc_bodyz,pidz_out,pidzv_out,pos_x,pos_y,pos_z,time,velocity_x,velocity_y,velocity_z
11,0.05,0.0,0,1.0,0.0474563625175638,0.0016387947779236188,-0.010738364117401426,0.17302487790584564,0.08491372317075728,-0.15920452773571014,-1.2079461812973022,-1.7213896512985216,10.453099250793457,0.5462229684578892,-0.014009087562561032,-0.017609970644116527,-0.010738364117401426,1.0136053562164307,0.2625250816345215,0.009102771990001202,-0.0027660327032208464,0.005598927382379771
12,0.05,0.0,0,1.0,0.04842049658779072,0.0032129254491581687,-0.00957813965080264,0.09664161503314972,0.1059984564781189,0.016083423048257814,-0.7931201457977295,-0.3523534536361685,7.695333480834961,0.5337302567442861,-0.014294262409210202,-0.01719855330884469,-0.00957813965080264,1.014068841934204,0.28464412689208984,0.011460595764219761,-0.0035257954150438335,0.004255839157849552
13,0.05,0.0,0,1.0,0.04842049658779072,0.0032129254491581687,-0.00957813965080264,0.09664161503314972,0.1059984564781189,0.016083423048257814,-0.3425016403198242,-2.8671998977661115,13.044679641723633,0.5365352723553296,-0.014899818420410153,-0.01719855330884469,-0.00957813965080264,1.014068841934204,0.3064141273498535,0.011460595764219761,-0.0035257954150438335,0.004255839157849552
14,0.05,0.0,0,1.0,0.049094093714140676,0.00419299453315213,-0.009228870529842486,0.03647851198911667,0.011119761504232882,-0.017848839983344078,-0.3316950798034668,-1.2464752197265612,10.161250114440918,0.5364721098541092,-0.01481704807281494,-0.01677991263568414,-0.009228870529842486,1.014703392982483,0.3279600143432617,0.010724447667598721,-0.009768959134817125,0.011540063656866552
15,0.05,0.0,0,1.0,0.04957659602778667,0.0035977258353271694,-0.008378381517762736,-0.09729035198688507,-0.03285618126392363,0.09334301948547363,0.1474413424730301,2.0414955615997328,11.924127578735352,0.5294842440233197,-0.015700778007507323,-0.016295932233333713,-0.008378381517762736,1.0155329704284668,0.3495450019836426,0.010626208037137978,-0.01704492047429085,0.026232395321130753
16,0.05,0.0,0,1.0,0.04957659602778667,0.0035977258353271694,-0.008378381517762736,-0.09729035198688507,-0.03285618126392363,0.09334301948547363,-1.0799832344055176,0.8845183253288278,7.06597900390625,0.517361810545103,-0.0166509952545166,-0.016295932233333713,-0.008378381517762736,1.0155329704284668,0.37270021438598633,0.010626208037137978,-0.01704492047429085,0.026232395321130753
17,0.05,0.0,0,1.0,0.050915128551807874,0.003269515069982897,-0.007910749661624701,-0.04807889834046364,0.037604305893182734,-0.17025169730186462,-0.4662074148654938,1.475018978118898,11.927101135253906,0.5198156870519948,-0.0164642539024353,-0.015843993052840358,-0.007910749661624701,1.016418218612671,0.39453721046447754,0.009530553594231599,-0.021497011184692386,0.02059805393218994
18,0.05,0.0,0,1.0,0.05022941210553493,0.002987823254196752,-0.00755014023294765,-0.04097190499305725,-0.09455708414316177,0.02807944454252721,0.15789148211479187,1.1364477872848526,12.012310981750488,0.5234969102789354,-0.017680749416351317,-0.01537077315151704,-0.00755014023294765,1.0173743963241577,0.41642022132873535,0.01350094843655824,-0.020858200266957286,0.01675022952258587
19,0.05,0.0,0,1.0,0.05022941210553493,0.002987823254196752,-0.00755014023294765,-0.04097190499305725,-0.09455708414316177,0.02807944454252721,-1.2879689931869507,0.7474738955497751,7.375699996948242,0.5251723995944094,-0.01872770357131958,-0.01537077315151704,-0.00755014023294765,1.0173743963241577,0.438709020614624,0.01350094843655824,-0.020858200266957286,0.01675022952258587
20,0.05,0.0,0,1.0,0.0507376886338105,0.003639244806499207,-0.007121330651762239,0.24065431952476501,0.017551442608237284,0.14327192306518555,-0.7378243803977966,-2.3812747001647936,12.0991849899292,0.5248947087323022,-0.01851034784317017,-0.014761173166334754,-0.007121330651762239,1.0183556079864502,0.46048521995544434,0.015270742587745184,-0.015010000206530098,0.016209529712796215
21,0.05,0.0,0,1.0,0.05044243516539702,0.0025467528553558424,-0.007002760630939439,-0.29883408546447754,-0.01313638966530561,0.03634287416934967,-0.8426787853240967,-0.5526943206787097,9.558032035827637,0.5241317696072352,-0.019859345436096194,-0.014221698977053292,-0.007002760630939439,1.0190582275390625,0.4826691150665283,0.016887048259377476,-0.016661072149872783,0.013316841796040537
22,0.05,0.0,0,1.0,0.05044243516539702,0.0025467528553558424,-0.007002760630939439,-0.29883408546447754,-0.01313638966530561,0.03634287416934967,-0.9422867894172668,0.7309626936912549,10.072270393371582,0.5260801696440888,-0.020554620265960697,-0.014221698977053292,-0.007002760630939439,1.0190582275390625,0.5041801929473877,0.016887048259377476,-0.016661072149872783,0.013316841796040537
23,0.05,0.0,0,1.0,0.04950277945553988,0.003716197416746063,-0.006384436465792026,0.1383197009563446,-0.09580370783805847,0.04575348272919656,-0.639499843120575,0.561065733432771,10.265290260314941,0.5258244434024107,-0.020420067310333256,-0.013536107726395257,-0.006384436465792026,1.0198445320129395,0.5257141590118408,0.01697784475982189,-0.015652924776077274,0.011645473539829256
24,0.05,0.0,0,1.0,0.049232769630389535,0.0037020699915397024,-0.006225984084794509,0.16565579175949097,-0.04651900008320809,-0.05496681109070777,-0.8728983998298645,-1.7035489082336412,11.674455642700195,0.5262487850866151,-0.02152164125442505,-0.01286691520363105,-0.006225984084794509,1.0204254388809204,0.5504031181335449,0.016674295067787167,-0.020308919250965122,0.011453460901975633
25,0.05,0.0,0,1.0,0.049232769630389535,0.0037020699915397024,-0.006225984084794509,0.16565579175949097,-0.04651900008320809,-0.05496681109070777,-0.47647038102149963,0.1410572081804285,7.732503890991211,0.5257753944316995,-0.022122630596160892,-0.01286691520363105,-0.006225984084794509,1.0204254388809204,0.5720391273498535,0.016674295067787167,-0.020308919250965122,0.011453460901975633
26,0.05,0.0,0,1.0,0.04936458810223854,0.0023624638591235422,-0.0056544109724512865,0.11884903162717819,0.01066929288208484,-0.06363928318023682,-0.5550490617752075,-1.7908217906951889,11.821971893310547,0.5258752454709898,-0.022030060291290288,-0.012181365862488873,-0.0056544109724512865,1.0208520889282227,0.5937941074371338,0.017555702477693554,-0.02204409241676331,0.001565727172419431
